speciesId,family,stage,attribute,candidatePath,rawBytes,sha256,canvasWidth,canvasHeight,alphaMin,alphaMax,transparentPixelRatio,opaquePixelRatio,visiblePixelRatio,alphaFringeRatio,bboxWidthRatio,bboxHeightRatio,topMargin,bottomMargin,leftMargin,rightMargin,visibleCentroidX,visibleCentroidY,centerOffsetX,centerOffsetY,edgeContact,nearEdgeContact,bboxTouchesEdges,opaqueCornerCount,fullyOpaqueCanvas,nearlyOpaqueCanvas,rectangularBackgroundSuspicion,whiteRectangleSuspicion,grayRectangleSuspicion,blackRectangleSuspicion,connectedComponentCount,largestVisibleComponentRatio,lowDensitySuspicion,meanLuminance,meanSaturation,edgeDensity,styleQualityOutlier,styleOutlierFields
m018,F006,3,flying,public/monsters/m018.webp,289760,498d30ef085783c61ed74f574355b5fa06d7da99fb180206a4d9941000a1857a,512,512,0,255,0.407284,0.41785,0.495483,0.077633,0.982422,0.988281,0.003906,0.007813,0.009766,0.007813,0.52824,0.473519,0.02824,-0.026481,false,true,0,0,false,false,false,false,false,false,58,0.96306,false,150.774967,0.564738,0.039855,false,
m019,F007,1,bug,public/monsters/m019.webp,189798,c9c8f758e3b8d4d40f1ff89be5bd33c3b259d806bdf143b8e07dd2d472b0270d,512,512,0,255,0.612541,0.358334,0.373333,0.014999,0.902344,0.787109,0.09375,0.119141,0.0625,0.035156,0.491179,0.513493,-0.008821,0.013493,false,false,0,0,false,false,false,false,false,false,4,0.999939,false,98.687909,0.546034,0.064825,false,
m020,F007,2,bug,public/monsters/m020.webp,270892,c9aabf150422ba028582d4e4f672177ef23fed604a1f5027392888961928a494,512,512,0,255,0.484802,0.475216,0.496513,0.021297,0.988281,0.974609,0.009766,0.015625,0.007813,0.003906,0.475931,0.513303,-0.024069,0.013303,false,true,0,0,false,false,false,false,false,false,10,0.999915,false,99.438287,0.59494,0.075851,false,
m021,F007,3,bug,public/monsters/m021.webp,314078,558e00df00ffb6e92769698ab19f0c6d0d6c36df838f990f221977b52d400e1d,512,512,0,255,0.393669,0.56065,0.585968,0.025318,0.992188,0.994141,0.003906,0.001953,0.003906,0.003906,0.486822,0.523815,-0.013178,0.023815,false,true,0,0,false,false,false,false,false,false,9,0.999941,false,99.335048,0.607304,0.070717,false,
m022,F008,1,bug,public/monsters/m022.webp,166956,c9781f901c698dcd59e27a3a54513710e90a1038f865edd6276b58c322bc40cf,512,512,0,255,0.727688,0.217457,0.243668,0.026211,0.708984,0.929688,0.035156,0.035156,0.181641,0.109375,0.537532,0.470719,0.037532,-0.029281,false,false,0,0,false,false,false,false,false,false,11,0.999828,false,174.436422,0.404748,0.078091,false,
m023,F008,2,bug,public/monsters/m023.webp,282568,898262b71dbc4c60c8cc6d31dba7b7ba29ac17b8ec08bedf52d677ace1a00151,512,512,0,255,0.556534,0.35981,0.397572,0.037762,0.9375,0.980469,0.007813,0.011719,0.042969,0.019531,0.549878,0.448997,0.049878,-0.051003,false,true,0,0,false,false,false,false,false,false,30,0.999165,false,177.327306,0.460491,0.089084,false,
m024,F008,3,bug,public/monsters/m024.webp,319068,4d08c1007b7ad4850834185b4ada3b479cc1e69c22f4f4fc31f5bab7c11f21a3,512,512,0,255,0.499416,0.405708,0.450588,0.04488,0.951172,0.970703,0.015625,0.013672,0.035156,0.013672,0.554277,0.45096,0.054277,-0.04904,false,false,0,0,false,false,false,false,false,false,39,0.999568,false,183.485409,0.43655,0.08319,false,
m025,F009,1,electric,public/monsters/m025.webp,63506,6df853aa27e3cf967975b39c93d4ab92445a70309b001e349353be803cf5bdbb,512,512,0,255,0.624039,0.35321,0.365349,0.012138,0.769531,0.763672,0.111328,0.125,0.119141,0.111328,0.49554,0.487528,-0.00446,-0.012472,false,false,0,0,false,false,false,false,false,false,2,0.99999,false,107.484631,0.53376,0.066262,false,
m026,F009,2,electric,public/monsters/m026.webp,72258,b7f6d095ba17d5dfea03a7db270a3c503841df06e3dcd4364296464564eea33c,512,512,0,255,0.6236,0.345585,0.361889,0.016304,0.794922,0.757813,0.115234,0.126953,0.111328,0.09375,0.509371,0.491743,0.009371,-0.008257,false,false,0,0,false,false,false,false,false,false,7,0.999916,false,111.205442,0.564724,0.080198,false,
m027,F009,3,electric,public/monsters/m027.webp,83082,cf434531c2c8aaa1049f883b85253de8ca8092b50ee8bbd8351dba374e476238,512,512,0,255,0.580498,0.382957,0.402847,0.01989,0.808594,0.785156,0.099609,0.115234,0.095703,0.095703,0.517158,0.488587,0.017158,-0.011413,false,false,0,0,false,false,false,false,false,false,15,0.999858,false,110.400199,0.57277,0.077014,false,
m028,F010,1,electric,public/monsters/m028.webp,53060,50d59372273b51d28ecbe4fee45a8a9fa9be041674150cf44637596c9f2d6bca,512,512,0,255,0.757282,0.21117,0.228886,0.017715,0.810547,0.814453,0.091797,0.09375,0.099609,0.089844,0.486771,0.43948,-0.013229,-0.06052,false,false,0,0,false,false,false,false,false,false,4,0.999883,false,154.903199,0.555598,0.064829,false,
m029,F010,2,electric,public/monsters/m029.webp,71030,a3e810611db2095e0b9d2b9920c1eaf541f58dc7426aa945e65c109e5ee5d70e,512,512,0,255,0.699383,0.25219,0.280209,0.028019,0.806641,0.804688,0.097656,0.097656,0.095703,0.097656,0.501901,0.441259,0.001901,-0.058741,false,false,0,0,false,false,false,false,false,false,11,0.999837,false,153.451943,0.589971,0.071809,false,
m030,F010,3,electric,public/monsters/m030.webp,87892,f37e641f70f49fe4c4732909895dd537eadcc55ef6e6afc6d54906842c0e5732,512,512,0,255,0.636063,0.294594,0.334728,0.040134,0.820313,0.814453,0.09375,0.091797,0.089844,0.089844,0.496964,0.437221,-0.003036,-0.062779,false,false,0,0,false,false,false,false,false,false,14,0.999761,false,153.16302,0.607869,0.072714,false,
m031,F011,1,ground,public/monsters/m031.webp,129262,1a3300ee184165683e17db69bd1ae936feff0bf0c786b3dcfa6bea3691c2ccb0,1024,1024,0,255,0.620676,0.354064,0.36621,0.012146,0.893555,0.787109,0.108398,0.104492,0.054688,0.051758,0.506555,0.508704,0.006555,0.008704,false,false,0,0,false,false,false,false,false,false,35,0.999893,false,107.183747,0.302509,0.032816,false,
m032,F011,2,ground,public/monsters/m032.webp,233450,655045e583c71480c2520b7fff1bd8ccd7e655ddf9711e25f2436b636500e474,1024,1024,0,255,0.524076,0.431895,0.452044,0.020148,0.949219,0.857422,0.075195,0.067383,0.032227,0.018555,0.55484,0.515319,0.05484,0.015319,false,false,0,0,false,false,false,false,false,false,85,0.988785,false,96.289942,0.508197,0.044327,false,
